1954-3,1954,3,"",1.44
1954-4,1954,4,"",1.25
1955-1,1955,1,"",1.44
1955-2,1955,2,"",1.69
1955-3,1955,3,"",2.0
1955-4,1955,4,"",2.5
1956-1,1956,1,"",2.5
1956-2,1956,2,"",2.75
1956-3,1956,3,"",3.0
1956-4,1956,4,"",3.0
1957-1,1957,1,"",3.0
1957-2,1957,2,"",3.0
1957-3,1957,3,"",3.5
1957-4,1957,4,"",3.0
1958-1,1958,1,"",0.5
1958-2,1958,2,"",0.13
1958-3,1958,3,"",1.75
1958-4,1958,4,"",2.38
1959-1,1959,1,"",2.5
1959-2,1959,2,"",3.0
1959-3,1959,3,"",3.5
1959-4,1959,4,"",4.0
1960-1,1960,1,"",4.0
1960-2,1960,2,"",2.0
1960-3,1960,3,"",3.0
1960-4,1960,4,"",1.5
1961-1,1961,1,"",2.0
1961-2,1961,2,"",2.0
1961-3,1961,3,"",1.5
1961-4,1961,4,"",2.25
1962-1,1962,1,"",2.5
1962-2,1962,2,"",2.75
1962-3,1962,3,"",3.0
1962-4,1962,4,"",2.88
1963-1,1963,1,"",3.0
1963-2,1963,2,"",3.0
1963-3,1963,3,"",3.5
1963-4,1963,4,"",3.5
1964-1,1964,1,"",3.5
1964-2,1964,2,"",3.5
1964-3,1964,3,"",3.5
1964-4,1964,4,"",4.0
1965-1,1965,1,"",4.0
1965-2,1965,2,"",4.13
1965-3,1965,3,"",3.75
1965-4,1965,4,"",4.13
1966-1,1966,1,"",4.63
1966-2,1966,2,"",4.25
1966-3,1966,3,"",5.88
1966-4,1966,4,"",5.5
1967-1,1967,1,"",3.75
1967-2,1967,2,"",4.0
1967-3,1967,3,"",4.0
1967-4,1967,4,"",4.5
1968-1,1968,1,"",4.75
1968-2,1968,2,"",6.13
1968-3,1968,3,"",5.75
1968-4,1968,4,"",6.0
1969-1,1969,1,"",7.0
1969-2,1969,2,"",9.38
1969-3,1969,3,"",9.75
1969-4,1969,4,"",9.63
1970-1,1970,1,"",8.5
1970-2,1970,2,"",7.75
1970-3,1970,3,"",6.75
1970-4,1970,4,"",5.63
1971-1,1971,1,"",3.63
1971-2,1971,2,"",4.75
1971-3,1971,3,"",5.75
1971-4,1971,4,"",3.75
1972-1,1972,1,"",3.25
1972-2,1972,2,"",4.44
1972-3,1972,3,"",5.19
1972-4,1972,4,"",5.25
1973-1,1973,1,"",7.0
1973-2,1973,2,"",8.44
1973-3,1973,3,"",11.22
1973-4,1973,4,"",10.34
1974-1,1974,1,"",8.97
1974-2,1974,2,"",11.64
1974-3,1974,3,"",11.6
1974-4,1974,4,"",9.47
1975-1,1975,1,"",6.07
1975-2,1975,2,"",5.23
1975-3,1975,3,"",6.13
1975-4,1975,4,"",5.31
1976-1,1976,1,"",5.21
1976-2,1976,2,"",5.58
1976-3,1976,3,"",5.25
1976-4,1976,4,"",4.67
1977-1,1977,1,"",4.7
1977-2,1977,2,"",5.24
1977-3,1977,3,"",6.06
1977-4,1977,4,"",6.52
1978-1,1978,1,"",6.86
1978-2,1978,2,"",7.48
1978-3,1978,3,"",8.33
1978-4,1978,4,"",9.95
1979-1,1979,1,"",10.05
1979-2,1979,2,"",10.24
1979-3,1979,3,"",11.29
1979-4,1979,4,"",13.96
1980-1,1980,1,"",16.33
1980-2,1980,2,"",11.06
1980-3,1980,3,"",10.74
1980-4,1980,4,"",17.71
1981-1,1981,1,"",15.53
1981-2,1981,2,"",19.01
1981-3,1981,3,"",17.52
1981-4,1981,4,"",13.03
1982-1,1982,1,"",14.11
1982-2,1982,2,"",13.76
1982-3,1982,3,"",11.28
1982-4,1982,4,"",9.1
1983-1,1983,1,"",8.65
1983-2,1983,2,"",9.38
1983-3,1983,3,"",9.61
1983-4,1983,4,"",9.46
1984-1,1984,1,"",9.73
1984-2,1984,2,"",10.53
1984-3,1984,3,"",11.64
1984-4,1984,4,"",8.92
1985-1,1985,1,"",8.74
1985-2,1985,2,"",7.64
1985-3,1985,3,"",7.8
1985-4,1985,4,"",8.54
1986-1,1986,1,"",7.95
1986-2,1986,2,"",6.84
1986-3,1986,3,"",5.77
1986-4,1986,4,"",6.38
1987-1,1987,1,"",6.02
1987-2,1987,2,"",6.74
1987-3,1987,3,"",6.84
1987-4,1987,4,"",7.04
1988-1,1988,1,"",6.66
1988-2,1988,2,"",7.24
1988-3,1988,3,"",8.27
1988-4,1988,4,"",8.54
1989-1,1989,1,"",9.82
1989-2,1989,2,"",9.84
1989-3,1989,3,"",8.93
1989-4,1989,4,"",8.51
1990-1,1990,1,"",8.3
1990-2,1990,2,"",8.28
1990-3,1990,3,"",8.06
1990-4,1990,4,"",7.61
1991-1,1991,1,"",6.35
1991-2,1991,2,"",5.92
1991-3,1991,3,"",5.5
1991-4,1991,4,"",4.86
1992-1,1992,1,"",4.13
1992-2,1992,2,"",3.96
1992-3,1992,3,"",3.39
1992-4,1992,4,"",3.17
1993-1,1993,1,"",3.65
1993-2,1993,2,"",3.33
1993-3,1993,3,"",3.25
1993-4,1993,4,"",3.07
1994-1,1994,1,"",3.31
1994-2,1994,2,"",4.33
1994-3,1994,3,"",4.76
1994-4,1994,4,"",5.49
1995-1,1995,1,"",5.56
1995-2,1995,2,"",6.04
1995-3,1995,3,"",5.72
1995-4,1995,4,"",5.56
1996-1,1996,1,"",5.81
1996-2,1996,2,"",5.31
1996-3,1996,3,"",5.28
1996-4,1996,4,"",5.44
1997-1,1997,1,"",5.5
1997-2,1997,2,"",5.58
1997-3,1997,3,"",5.52
1997-4,1997,4,"",5.92
1998-1,1998,1,"",5.57
1998-2,1998,2,"",5.79
1998-3,1998,3,"",5.75
1998-4,1998,4,"",4.82
1999-1,1999,1,53.31,5.1
1999-2,1999,2,52.58,4.78
1999-3,1999,3,54.8,5.41
1999-4,1999,4,47.8,5.71
2000-1,2000,1,54.29,5.78
2000-2,2000,2,57.42,6.65
2000-3,2000,3,58.75,6.52
2000-4,2000,4,54.97,6.6
2001-1,2001,1,61.64,5.59
2001-2,2001,2,58.07,4.14
2001-3,2001,3,65.05,3.66
2001-4,2001,4,59.54,2.06
2002-1,2002,1,68.59,1.78
2002-2,2002,2,69.05,1.79
2002-3,2002,3,73.17,1.81
2002-4,2002,4,67.34,1.23
2003-1,2003,1,75.67,1.33
2003-2,2003,2,76.71,1.28
2003-3,2003,3,79.0,1.01
2003-4,2003,4,75.8,1.03
2004-1,2004,1,75.65,1.04
2004-2,2004,2,75.2,1.02
2004-3,2004,3,74.18,1.53
2004-4,2004,4,75.76,2.04
2005-1,2005,1,70.2,2.39
2005-2,2005,2,72.86,3.02
2005-3,2005,3,72.75,3.57
2005-4,2005,4,70.94,4.03
2006-1,2006,1,69.61,4.52
2006-2,2006,2,64.32,5.02
2006-3,2006,3,66.43,5.25
2006-4,2006,4,64.75,5.27
2007-1,2007,1,64.34,5.31
2007-2,2007,2,66.94,5.23
2007-3,2007,3,58.44,4.96
2007-4,2007,4,64.49,4.66
2008-1,2008,1,60.23,3.01
2008-2,2008,2,55.92,1.98
2008-3,2008,3,53.56,1.94
2008-4,2008,4,62.94,0.52
2009-1,2009,1,54.95,0.22
2009-2,2009,2,56.06,0.21
2009-3,2009,3,56.69,0.15
2009-4,2009,4,62.14,0.13
2010-1,2010,1,55.74,0.14
2010-2,2010,2,61.47,0.2
2010-3,2010,3,59.07,0.19
2010-4,2010,4,66.48,0.2
2011-1,2011,1,63.13,0.15
2011-2,2011,2,63.56,0.1
2011-3,2011,3,69.84,0.08
2011-4,2011,4,70.26,0.08
2012-1,2012,1,69.6,0.11
2012-2,2012,2,70.14,0.16
2012-3,2012,3,74.58,0.13
2012-4,2012,4,73.85,0.16
2013-1,2013,1,72.63,0.14
2013-2,2013,2,72.76,0.09
2013-3,2013,3,73.75,0.07
2013-4,2013,4,73.26,0.07
2014-1,2014,1,72.41,0.06
2014-2,2014,2,74.52,0.08
2014-3,2014,3,74.84,0.07
2014-4,2014,4,70.33,0.13
2015-1,2015,1,72.39,0.06
2015-2,2015,2,72.65,0.12
2015-3,2015,3,73.61,0.14
2015-4,2015,4,70.01,0.13
2016-1,2016,1,74.41,0.36
2016-2,2016,2,74.78,0.37
2016-3,2016,3,72.72,0.4
2016-4,2016,4,71.43,0.41
2017-1,2017,1,71.24,0.66
2017-2,2017,2,74.65,0.91
2017-3,2017,3,75.58,1.16
2017-4,2017,4,70.8,1.16
2018-1,2018,1,70.21,1.42
2018-2,2018,2,73.54,1.7
2018-3,2018,3,74.84,1.91
2018-4,2018,4,71.49,2.2
2019-1,2019,1,"",2.4
2019-2,2019,2,"",2.4
2019-3,2019,3,"",2.13
2019-4,2019,4,"",1.56
