DATE,CMDEBT
10/1/1945,29.442
1/1/1946,.
4/1/1946,.
7/1/1946,.
10/1/1946,36.067
1/1/1947,.
4/1/1947,.
7/1/1947,.
10/1/1947,44.913
1/1/1948,.
4/1/1948,.
7/1/1948,.
10/1/1948,53.423
1/1/1949,.
4/1/1949,.
7/1/1949,.
10/1/1949,61.273
1/1/1950,.
4/1/1950,.
7/1/1950,.
10/1/1950,74.845
1/1/1951,.
4/1/1951,.
7/1/1951,.
10/1/1951,83.447
1/1/1952,85.7
4/1/1952,89.022
7/1/1952,91.883
10/1/1952,95.595
1/1/1953,99.754
4/1/1953,103.185
7/1/1953,105.582
10/1/1953,108.158
1/1/1954,109.969
4/1/1954,112.672
7/1/1954,115.975
10/1/1954,120.453
1/1/1955,125.737
4/1/1955,131.665
7/1/1955,136.861
10/1/1955,141.563
1/1/1956,145.633
4/1/1956,149.515
7/1/1956,152.607
10/1/1956,156.401
1/1/1957,159.999
4/1/1957,163.622
7/1/1957,166.412
10/1/1957,168.575
1/1/1958,170.189
4/1/1958,172.311
7/1/1958,175.488
10/1/1958,180.371
1/1/1959,185.161
4/1/1959,190.689
7/1/1959,196.497
10/1/1959,202.315
1/1/1960,205.948
4/1/1960,211.109
7/1/1960,215.388
10/1/1960,219.861
1/1/1961,223.428
4/1/1961,227.806
7/1/1961,231.798
10/1/1961,237.901
1/1/1962,241.983
4/1/1962,247.273
7/1/1962,253.282
10/1/1962,259.752
1/1/1963,265.533
4/1/1963,273.049
7/1/1963,280.359
10/1/1963,288.211
1/1/1964,295.162
4/1/1964,302.632
7/1/1964,309.331
10/1/1964,317.13
1/1/1965,323.887
4/1/1965,331.139
7/1/1965,337.893
10/1/1965,345.863
1/1/1966,352.486
4/1/1966,359.683
7/1/1966,363.413
10/1/1966,368.393
1/1/1967,371.781
4/1/1967,376.524
7/1/1967,382.31
10/1/1967,402.322
1/1/1968,397.674
4/1/1968,407.896
7/1/1968,415.114
10/1/1968,426.692
1/1/1969,429.581
4/1/1969,438.271
7/1/1969,443.623
10/1/1969,453.272
1/1/1970,451.262
4/1/1970,453.909
7/1/1970,459.355
10/1/1970,467.163
1/1/1971,475.671
4/1/1971,485.236
7/1/1971,496.024
10/1/1971,511.31
1/1/1972,524.678
4/1/1972,540.105
7/1/1972,553.151
10/1/1972,571.267
1/1/1973,590.525
4/1/1973,604.561
7/1/1973,620.767
10/1/1973,636.677
1/1/1974,649.082
4/1/1974,664.222
7/1/1974,678.869
10/1/1974,691.472
1/1/1975,700.265
4/1/1975,708.396
7/1/1975,724.107
10/1/1975,747.477
1/1/1976,767.648
4/1/1976,788.211
7/1/1976,808.297
10/1/1976,836.261
1/1/1977,864.819
4/1/1977,897.932
7/1/1977,931.229
10/1/1977,966.509
1/1/1978,1002.813
4/1/1978,1046.983
7/1/1978,1088.868
10/1/1978,1128.024
1/1/1979,1170.23
4/1/1979,1211.382
7/1/1979,1255.582
10/1/1979,1296.909
1/1/1980,1338.621
4/1/1980,1352.044
7/1/1980,1381.267
10/1/1980,1420.202
1/1/1981,1442.353
4/1/1981,1474.888
7/1/1981,1498.895
10/1/1981,1526.567
1/1/1982,1545.023
4/1/1982,1564.484
7/1/1982,1567.309
10/1/1982,1597.908
1/1/1983,1608.06
4/1/1983,1652.404
7/1/1983,1700.875
10/1/1983,1759.608
1/1/1984,1813.182
4/1/1984,1870.264
7/1/1984,1915.487
10/1/1984,1977.678
1/1/1985,2078.615
4/1/1985,2142.819
7/1/1985,2223.628
10/1/1985,2329.784
1/1/1986,2383.881
4/1/1986,2436.341
7/1/1986,2514.174
10/1/1986,2592.292
1/1/1987,2626.617
4/1/1987,2706.834
7/1/1987,2774.558
10/1/1987,2802.014
1/1/1988,2877.784
4/1/1988,2950.48
7/1/1988,3020.606
10/1/1988,3084.161
1/1/1989,3148.605
4/1/1989,3222.845
7/1/1989,3294.297
10/1/1989,3365.603
1/1/1990,3458.954
4/1/1990,3520.478
7/1/1990,3572.011
10/1/1990,3624.019
1/1/1991,3679.607
4/1/1991,3735.489
7/1/1991,3766.12
10/1/1991,3832.141
1/1/1992,3883.488
4/1/1992,3920.32
7/1/1992,3972.36
10/1/1992,4031.214
1/1/1993,4072.834
4/1/1993,4133.221
7/1/1993,4203.776
10/1/1993,4278.406
1/1/1994,4349.868
4/1/1994,4427.335
7/1/1994,4498.175
10/1/1994,4599.038
1/1/1995,4671.658
4/1/1995,4752.858
7/1/1995,4845.448
10/1/1995,4917.704
1/1/1996,5039.272
4/1/1996,5129.217
7/1/1996,5199.18
10/1/1996,5277.184
1/1/1997,5364.199
4/1/1997,5446.063
7/1/1997,5543.361
10/1/1997,5622.705
1/1/1998,5731.918
4/1/1998,5855.436
7/1/1998,5945.829
10/1/1998,6077.574
1/1/1999,6217.96
4/1/1999,6359.141
7/1/1999,6495.575
10/1/1999,6644.044
1/1/2000,6829.843
4/1/2000,6961.2
7/1/2000,7124.476
10/1/2000,7239.674
1/1/2001,7350.91
4/1/2001,7525.978
7/1/2001,7768.38
10/1/2001,7862.206
1/1/2002,8051.432
4/1/2002,8200.431
7/1/2002,8395.262
10/1/2002,8627.359
1/1/2003,8852.818
4/1/2003,9210.475
7/1/2003,9452.018
10/1/2003,9709.31
1/1/2004,9957.815
4/1/2004,10249.504
7/1/2004,10503.935
10/1/2004,10858.322
1/1/2005,11102.343
4/1/2005,11426.361
7/1/2005,11740.989
10/1/2005,12033.171
1/1/2006,12422.717
4/1/2006,12764.9
7/1/2006,13056.379
10/1/2006,13318.468
1/1/2007,13513.164
4/1/2007,13824.373
7/1/2007,14040.257
10/1/2007,14241.494
1/1/2008,14398.865
4/1/2008,14331.657
7/1/2008,14448.618
10/1/2008,14110.36
1/1/2009,14043.476
4/1/2009,14022.725
7/1/2009,13982.805
10/1/2009,13951.124
1/1/2010,13869.439
4/1/2010,13823.575
7/1/2010,13738.792
10/1/2010,13735.584
1/1/2011,13744.396
4/1/2011,13695.861
7/1/2011,13600.622
10/1/2011,13586.682
1/1/2012,13594.419
4/1/2012,13556.165
7/1/2012,13555.793
10/1/2012,13586.472
1/1/2013,13608.619
4/1/2013,13616.542
7/1/2013,13654.9
10/1/2013,13722.927
1/1/2014,13742.909
4/1/2014,13855.82
7/1/2014,13915.963
10/1/2014,13971.247
1/1/2015,14015.233
4/1/2015,14136.728
7/1/2015,14153.865
10/1/2015,14164.405
1/1/2016,14235.388
4/1/2016,14361.558
7/1/2016,14505.093
10/1/2016,14593.821
1/1/2017,14722.884
4/1/2017,14873.316
7/1/2017,14961.89
10/1/2017,15147.206
1/1/2018,15256.269
4/1/2018,15378.8
7/1/2018,15512.804
10/1/2018,15615.628
1/1/2019,15694.992
4/1/2019,15858.521
7/1/2019,15988.762
10/1/2019,16148.614
