Date,stu_loans
1/1/2003,0.2407
4/1/2003,0.2429
7/1/2003,0.2488
10/1/2003,0.2529
1/1/2004,0.2598
4/1/2004,0.2629
7/1/2004,0.33
10/1/2004,0.3457
1/1/2005,0.3636
4/1/2005,0.3744
7/1/2005,0.3777
10/1/2005,0.3917
1/1/2006,0.4345
4/1/2006,0.4389
7/1/2006,0.4467
10/1/2006,0.4816
1/1/2007,0.5064
4/1/2007,0.514
7/1/2007,0.5285004
10/1/2007,0.5475
1/1/2008,0.5792
4/1/2008,0.5863
7/1/2008,0.6109
10/1/2008,0.6393
1/1/2009,0.6628
4/1/2009,0.6754
7/1/2009,0.6945
10/1/2009,0.7213
1/1/2010,0.7578
4/1/2010,0.7617
7/1/2010,0.7782
10/1/2010,0.8118
1/1/2011,0.8392
4/1/2011,0.8514
7/1/2011,0.8702
10/1/2011,0.8736
1/1/2012,0.90365613
4/1/2012,0.914
7/1/2012,0.956
10/1/2012,0.966
1/1/2013,0.986
4/1/2013,0.994
7/1/2013,1.027
10/1/2013,1.08
1/1/2014,1.111
4/1/2014,1.118
7/1/2014,1.126
10/1/2014,1.157
1/1/2015,1.189
4/1/2015,1.19
7/1/2015,1.203
10/1/2015,1.232
1/1/2016,1.261
4/1/2016,1.259
7/1/2016,1.279
10/1/2016,1.31
1/1/2017,1.344
4/1/2017,1.344
7/1/2017,1.357
10/1/2017,1.378
1/1/2018,1.407
4/1/2018,1.405
7/1/2018,1.442
10/1/2018,1.457
1/1/2019,1.486
4/1/2019,1.478
7/1/2019,1.498
10/1/2019,1.508
