 state , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 ,Q4_2017,Q4_2018, Q4_2019 
 AK ,680,1730,1910,2250,2340,2530,2850,3140,3390,3680,3630,3640,3610,3660,3740,4030,3970
 AL ,880,1090,1240,1490,1770,2160,2470,2790,2990,3370,3620,3980,4180,4390,4610,4920,5120
 AR ,710,1010,1160,1460,1690,1990,2260,2620,2840,3190,3440,3720,3830,4100,4170,4330,4540
 AZ ,1080,1520,1670,1930,2170,2500,2890,3220,3420,3890,4030,4310,4470,4690,4890,5170,5260
 CA ,970,1340,1480,1780,2000,2350,2650,2960,3140,3510,3720,3890,4010,4190,4330,4530,4640
 CO ,1380,1790,1930,2290,2520,3240,3630,4000,4280,4720,4910,5150,5300,5630,5840,6180,6230
 CT ,1010,1550,1770,2210,2500,2950,3250,3660,3890,4170,4600,4760,5060,5470,5660,5890,6160
 DC ,3120,4350,4560,5900,6430,7420,7920,8700,9640,10670,10880,11260,11780,12200,12380,13320,13420
 DE ,990,1350,1460,1920,2200,2570,2900,3340,3630,4090,4370,4600,4880,5290,5590,6040,6070
 FL ,840,1150,1320,1580,1840,2260,2590,2940,3210,3630,3840,4090,4220,4480,4690,4940,5020
 GA ,1110,1440,1670,2060,2410,2900,3330,3830,4210,4770,5140,5640,5870,6340,6750,7250,7440
 HI ,730,960,1090,1360,1500,1800,2020,2270,2350,2690,2920,3010,3150,3240,3530,3780,3780
 IA ,1500,1830,2040,2400,2760,3260,3570,3880,4170,4490,4710,4810,4900,5120,5150,5300,5330
 ID ,1240,1450,1680,2020,2170,2400,2840,3160,3340,3920,4260,4360,4560,4690,4720,5050,5020
 IL ,1150,1570,1750,2200,2520,2950,3310,3720,4030,4400,4700,4950,5100,5400,5590,5800,5970
 IN ,950,1300,1480,1830,2120,2680,3030,3490,3790,4070,4300,4540,4700,4900,5060,5300,5290
 KS ,1140,1630,1840,2160,2490,3060,3320,3630,3920,4380,4540,4840,4950,5160,5300,5480,5540
 KY ,830,1020,1180,1450,1740,2180,2500,2850,3080,3500,3670,3940,4170,4390,4640,4870,4980
 LA ,990,1550,1690,1970,2190,2560,2910,3130,3390,3750,4030,4340,4500,4810,5020,5360,5580
 MA ,1400,2050,2250,2740,3070,3600,3900,4380,4580,4860,5170,5310,5630,5830,5980,6140,6180
 MD ,1250,1790,1970,2380,2620,3060,3520,4040,4270,4730,5110,5480,5670,6010,6260,6740,6910
 ME ,1190,1340,1460,1880,2230,3050,3360,3600,3720,3970,4210,4450,4760,5050,5270,5340,5440
 MI ,1120,1420,1600,1920,2190,2700,3120,3500,3800,4240,4540,4840,4940,5280,5490,5800,5910
 MN ,1430,1840,2080,2450,2900,3330,3730,4200,4600,5020,5310,5550,5730,5980,6100,6280,6310
 MO ,1060,1490,1610,1970,2260,2700,3110,3470,3760,4180,4370,4620,4760,5000,5140,5270,5370
 MS ,810,1130,1300,1680,1980,2390,2820,3150,3560,4130,4250,4630,4880,5210,5510,5870,5900
 MT ,1270,1770,1640,2170,2360,2680,2950,3210,3420,3750,3840,4090,4080,4000,4360,4670,4620
 NC ,780,990,1200,1530,1790,2140,2480,2800,3050,3420,3750,4010,4280,4650,4950,5240,5470
 ND ,1840,2020,2240,2620,3020,3260,3600,3870,4150,4670,4770,4870,5040,4910,5240,5510,5500
 NE ,1430,1270,1440,1650,1870,3090,3290,3750,3890,4200,4300,4510,4710,4850,5000,5080,5170
 NH ,1360,2010,2320,2680,3090,3460,3730,3980,4370,4630,4860,5000,5260,5580,5900,5860,5890
 NJ ,1050,1570,1760,2210,2540,2950,3300,3680,3980,4330,4710,4970,5200,5530,5720,6090,6210
 NM ,830,1290,1490,1760,1970,2190,2440,2720,3010,3360,3490,3550,3620,3760,3810,4070,4100
 NV ,730,980,1110,1260,1530,1860,2080,2290,2460,2850,2960,3180,3430,3620,3790,4170,4270
 NY ,1420,1940,2090,2640,2960,3450,3820,4200,4440,4770,5060,5190,5330,5550,5810,6090,6180
 OH ,1210,1570,1790,2210,2590,3060,3490,3940,4220,4640,5000,5320,5510,5780,5980,6220,6320
 OK ,830,1270,1470,1750,1960,2400,2700,2940,3210,3580,3730,3840,3940,4100,4300,4540,4560
 OR ,1090,1490,1700,2050,2340,2710,3090,3440,3720,4160,4460,4750,4980,5260,5430,5760,5820
 PA ,1270,1780,1890,2410,2750,3200,3600,3950,4290,4600,4890,5140,5350,5660,5910,6210,6420
 PR ,500,650,720,870,990,1070,1250,1420,1510,1770,1950,2100,2320,2620,,,
 RI ,1380,1790,1830,2160,2310,2870,3200,3750,3600,4060,4410,4650,4780,4940,4910,5390,5640
 SC ,710,960,1300,1800,2120,2430,2820,3210,3500,4020,4290,4620,4870,5240,5500,5870,6050
 SD ,1770,1930,2160,2340,2810,3250,3450,3740,3950,4290,4250,4340,4710,4890,5020,5170,5150
 TN ,800,1140,1300,1560,1810,2190,2460,2820,3090,3480,3770,4050,4190,4520,4760,5050,5190
 TX ,910,1250,1470,1740,1970,2350,2680,2990,3240,3610,3740,4000,4180,4460,4700,4970,5100
 UT ,780,1180,1340,1680,1860,2210,2500,2730,3030,3390,3470,3620,3870,4100,4230,4350,4290
 VA ,1110,1580,1660,2030,2270,2690,3070,3410,3690,4030,4320,4680,4850,5230,5550,5820,6050
 VT ,1990,2210,2230,2840,3130,3780,3850,4070,4070,4400,4530,4850,5130,5250,5620,5480,5880
 WA ,980,1350,1500,1810,2060,2300,2540,2820,3030,3380,3540,3710,3860,4030,4110,4270,4330
 WI ,1180,1400,1600,1900,2190,2530,2870,3240,3470,3860,4000,4230,4370,4580,4750,4850,4940
 WV ,950,1190,1330,1710,1970,2320,2580,2840,2990,3290,3490,3780,3800,3920,4070,4020,4180
 WY ,670,1220,1240,1570,1870,2090,2270,2480,2770,3090,3160,3290,3290,3300,3270,3610,3690
 allUS ,1060,1440,1610,1970,2250,2670,3010,3370,3620,4000,4250,4490,4660,4920,5130,5390,5510
